目标模块/业务域,用例名称,测试协议,测试类型,测试输入,测试工具,测试步骤,预期结果,自动化等级,描述,执行器类型,脚本路径,命令模板,参数模板,超时秒数
IVI/T-BOX,隐藏调用测试,Linux,Manual,浏览器,测试工具,"1)测试WebView隐藏调用
2)检查风险",应有适当的保护,B,原始等级: B；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。 不合理点: 预期结果偏泛，缺少可直接断言的量化标准,,,,,
IVI/T-BOX,浏览器已知漏洞,Linux,Manual,浏览器版本,CVE数据库,"1)检查浏览器版本
2)查询CVE",应无已知未修补漏洞,B,原始等级: A；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。 不合理点: 原表自动化等级偏乐观；测试工具偏分析型，不是稳定执行器；更像情报/合规检查，不是单次执行即可闭环的测试,,,,,
钥匙系统,射频钥匙重放,RF,Manual,射频信号,射频工具,"1)捕获射频钥匙信号
2)重放信号
3)验证效果",重放应无法触发解闭锁,B,原始等级: B；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。,,,,,
钥匙系统,射频钥匙模糊,RF,Manual,射频信号,射频工具,"1)模糊生成射频数据
2)测试解闭锁",模糊数据应无法触发解闭锁,B,原始等级: B；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。,,,,,
钥匙系统,NFC钥匙中继测试,RF,Manual,NFC信号,NFC工具,"1)执行NFC中继攻击
2)验证效果",NFC中继应无法成功,B,原始等级: B；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。,,,,,
钥匙系统,NFC钥匙重放攻击,RF,Manual,NFC信号,NFC工具,"1)录制NFC信号
2)重放信号
3)验证效果",重放应无法触发解闭锁,B,原始等级: B；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。,,,,,
钥匙系统,NFC钥匙复制,RF,Manual,NFC卡片,NFC工具,"1)拷贝NFC卡片
2)测试解闭锁",拷贝卡片应无法解闭锁,B,原始等级: B；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。,,,,,
钥匙系统,蓝牙钥匙重放,RF,Manual,蓝牙信号,蓝牙工具,"1)录制蓝牙钥匙信号
2)重放信号
3)验证效果",重放应无法触发控车,B,原始等级: B；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。,,,,,
钥匙系统,蓝牙钥匙篡改,RF,Manual,蓝牙信号,蓝牙工具,"1)篡改蓝牙钥匙指令
2)发送篡改指令
3)验证效果",篡改指令应被拒绝,B,原始等级: B；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。,,,,,
钥匙系统,蓝牙钥匙拒绝服务,RF,Manual,蓝牙信号,蓝牙工具,"1)发送高频蓝牙数据
2)观察系统状态",应有DoS防护,D,原始等级: C；建议分组: 不建议自动化。强依赖物理环境、复杂攻击编排或人工观察，不适合作为当前平台的优先自动化对象。 不合理点: 建议重新定义自动化等级；预期结果偏泛，缺少可直接断言的量化标准,,,,,
钥匙系统,BLE通信数据加密测试,RF,Manual,BLE通信,nRF Sniffer,"1)抓取BLE通信
2)检查数据加密",通信内容应加密,B,原始等级: A；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。 不合理点: 原表自动化等级偏乐观；测试工具偏分析型，不是稳定执行器,,,,,
钥匙系统,远控钥匙加密,RF,Manual,远控通信,抓包工具,"1)抓取远控通信
2)检查加密",关键数据应加密,B,原始等级: A；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。 不合理点: 原表自动化等级偏乐观,,,,,
钥匙系统,远控钥匙重放/篡改,RF,Manual,远控指令,BurpSuite,"1)抓取远控指令
2)重放/篡改指令
3)验证结果",重放/篡改应被拒绝,B,原始等级: B；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。,,,,,
钥匙系统,物理换件测试,RF,Manual,物理零部件,ADB/拆装工具,"1)更换零部件
2)上电观察
3)检查告警",换件应触发绑定失效/认证失败,D,原始等级: D；建议分组: 不建议自动化。强依赖物理环境、复杂攻击编排或人工观察，不适合作为当前平台的优先自动化对象。,,,,,
无线通信,Wi-Fi密码强度,Wi-Fi/GNSS,Manual,WiFi热点,WiFi工具,"1)检查WiFi密码
2)评估密码强度",密码应足够复杂,B,原始等级: A；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。 不合理点: 原表自动化等级偏乐观,,,,,
无线通信,Wi-Fi密码存储,Wi-Fi/GNSS,Manual,WiFi配置,ADB/SSH,"1)查看WiFi密码存储
2)检查加密",密码应安全存储,B,原始等级: A；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。 不合理点: 原表自动化等级偏乐观,,,,,
无线通信,Wi-Fi加密模式,Wi-Fi/GNSS,Manual,WiFi通信,抓包工具,"1)抓取WiFi通信
2)检查加密模式",应使用强加密模式,B,原始等级: A；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。 不合理点: 原表自动化等级偏乐观,,,,,
无线通信,Wi-Fi已知漏洞,Wi-Fi/GNSS,Manual,WiFi协议,CVE数据库,"1)检查WiFi协议版本
2)查询CVE",应无已知未修补漏洞,B,原始等级: A；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。 不合理点: 原表自动化等级偏乐观；测试工具偏分析型，不是稳定执行器；更像情报/合规检查，不是单次执行即可闭环的测试,,,,,
无线通信,Wi-Fi模糊测试,Wi-Fi/GNSS,Manual,WiFi通信,模糊工具,"1)发送异常WiFi数据
2)观察系统状态",异常数据应被丢弃,D,原始等级: A；建议分组: 不建议自动化。强依赖物理环境、复杂攻击编排或人工观察，不适合作为当前平台的优先自动化对象。 不合理点: 原表自动化等级偏乐观,,,,,
无线通信,WiFi弱密码验证,Wi-Fi/GNSS,Manual,WiFi热点,字典工具,"1)使用字典尝试WiFi密码
2)检查结果",弱密码应无法成功连接,B,原始等级: A；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。 不合理点: 原表自动化等级偏乐观,,,,,
无线通信,WiFi拒绝服务,Wi-Fi/GNSS,Manual,WiFi通信,DoS工具,"1)发送WiFi DoS攻击
2)观察系统状态",应有DoS防护,D,原始等级: C；建议分组: 不建议自动化。强依赖物理环境、复杂攻击编排或人工观察，不适合作为当前平台的优先自动化对象。 不合理点: 建议重新定义自动化等级；预期结果偏泛，缺少可直接断言的量化标准,,,,,
无线通信,女巫攻击,Wi-Fi/GNSS,Manual,WiFi通信,攻击工具,"1)发起女巫攻击
2)观察系统响应",应有女巫攻击防护,B,原始等级: B；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。 不合理点: 预期结果偏泛，缺少可直接断言的量化标准,,,,,
无线通信,GPS静态欺骗,Wi-Fi/GNSS,Manual,GPS信号,GPS模拟器,"1)注入静态虚假GPS
2)观察系统响应",系统应识别异常数据并丢弃,B,原始等级: B；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。,,,,,
无线通信,GPS动态欺骗,Wi-Fi/GNSS,Manual,GPS信号,GPS模拟器,"1)注入动态虚假GPS
2)观察系统响应",系统应识别异常数据并丢弃,B,原始等级: B；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。,,,,,
无线通信,GPS干扰,Wi-Fi/GNSS,Manual,GPS信号,GPS干扰器,"1)发送GPS干扰信号
2)观察系统响应",应有干扰检测机制,D,原始等级: C；建议分组: 不建议自动化。强依赖物理环境、复杂攻击编排或人工观察，不适合作为当前平台的优先自动化对象。 不合理点: 建议重新定义自动化等级；预期结果偏泛，缺少可直接断言的量化标准,,,,,
无线通信,TPMS信号重放,Wi-Fi/GNSS,Manual,TPMS信号,TPMS工具,"1)录制TPMS信号
2)重放信号
3)验证效果",重放应无法触发胎压变化,B,原始等级: B；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。,,,,,
无线通信,TPMS信号干扰,Wi-Fi/GNSS,Manual,TPMS信号,TPMS工具,"1)发送TPMS干扰
2)观察仪表显示",系统应校验传感器合法性,B,原始等级: B；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。,,,,,
控车APP,签名安全性测试,Android/iOS,Automated,APK/IPA安装包,jadx/工具,"1)检查APK/IPA签名
2)验证签名有效性",签名应有效且来自可信来源,A,原始等级: A；建议分组: 适合自动化。输入和判定标准较清晰，适合落成脚本或命令并接入当前平台。 不合理点: 预期结果偏泛，缺少可直接断言的量化标准,python,,,,300
控车APP,应用完整性校验,Android/iOS,Automated,APK/IPA安装包,hash工具,"1)计算APK/IPA hash
2)验证完整性",应用应通过完整性校验,A,原始等级: A；建议分组: 适合自动化。输入和判定标准较清晰，适合落成脚本或命令并接入当前平台。,python,,,,300
控车APP,任意调试风险,Android/iOS,Manual,APK/IPA,检查工具,"1)检查应用是否允许调试
2)验证保护机制",应有适当的反调试保护,B,原始等级: B；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。 不合理点: 预期结果偏泛，缺少可直接断言的量化标准,,,,,
控车APP,敏感信息安全,Android/iOS,Automated,APK/IPA,分析工具,"1)检查日志文件
2)扫描敏感信息",日志不应打印敏感信息,A,原始等级: A；建议分组: 适合自动化。输入和判定标准较清晰，适合落成脚本或命令并接入当前平台。,python,,,,300
控车APP,安全协议,Android/iOS,Manual,网络通信,抓包工具,"1)抓取应用通信
2)检查协议和加密",应使用安全协议,B,原始等级: A；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。 不合理点: 原表自动化等级偏乐观,,,,,
控车APP,证书有效性,Android/iOS,Automated,网络通信,抓包工具,"1)抓取通信
2)验证证书",证书应有效,A,原始等级: A；建议分组: 适合自动化。输入和判定标准较清晰，适合落成脚本或命令并接入当前平台。 不合理点: 预期结果偏泛，缺少可直接断言的量化标准,python,,,,300
控车APP,关键数据加密,Android/iOS,Automated,网络通信,抓包工具,"1)抓取通信
2)检查数据加密",关键数据应加密,A,原始等级: A；建议分组: 适合自动化。输入和判定标准较清晰，适合落成脚本或命令并接入当前平台。,python,,,,300
控车APP,APK组件安全,Android/iOS,Manual,APK文件,ADB/jadx,"1)反编译查看Manifest
2)检查组件导出",敏感组件不应对外导出,B,原始等级: A；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。 不合理点: 原表自动化等级偏乐观,,,,,
控车APP,APK混淆加固,Android/iOS,Manual,APK文件,jadx,"1)反编译APK
2)检查混淆程度",应有适当的混淆,B,原始等级: A；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。 不合理点: 原表自动化等级偏乐观；预期结果偏泛，缺少可直接断言的量化标准,,,,,
控车APP,APK反编译保护,Android/iOS,Manual,APK文件,jadx,"1)尝试反编译APK
2)检查保护",应有反编译保护,B,原始等级: A；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。 不合理点: 原表自动化等级偏乐观；预期结果偏泛，缺少可直接断言的量化标准,,,,,
控车APP,任意备份风险,Android/iOS,Automated,APK文件,检查工具,"1)检查应用备份权限
2)验证风险",应有适当的备份保护,A,原始等级: A；建议分组: 适合自动化。输入和判定标准较清晰，适合落成脚本或命令并接入当前平台。 不合理点: 预期结果偏泛，缺少可直接断言的量化标准,python,,,,300
控车APP,非法截屏,Android/iOS,Manual,APK文件,检查工具,"1)检查应用截屏保护
2)验证机制",应有截屏保护,B,原始等级: B；建议分组: 半自动。可自动采集数据，但通常还需要抓包分析、人工复核或实验环境配合。 不合理点: 预期结果偏泛，缺少可直接断言的量化标准,,,,,
